schema_version,doc_id,file_name,doc_path,sha256,title,authority,doc_type,version_or_revision,publication_year,language,equipment_scope,fault_types,canonical_topics,reasoning_role,supports_diagnosis,supports_resolution,key_sections,retrieval_queries,preferred_chunk_types,chunking_strategy,recommended_chunk_size_tokens,recommended_overlap_tokens,ui_label,citation_short,citation_full,priority_tier,extraction_notes
1.0,ASHRAE_GUIDELINE,Ashrae-Guideline.pdf,e:\dissertation-project\agentic-fault-gpt\knowledge\manual\Ashrae-Guideline.pdf,e3ee24ee653b971d5da1745cb424f58fa0f6b42734d39b81805a06735799dd61,ASHRAE Addendum u to ASHRAE Guideline 36-2018,ASHRAE,guideline,,,en,AHU|VAV|cooling_coil|mixing_box|damper|fan|sensor|controller|general_hvac,economizer_fault|general_fdd,economizer|mixed_air|cooling_coil|dampers|valves|sensors|maintenance|commissioning|fault_detection|diagnostics,fault_condition_definition|possible_cause_enumeration|physical_behavior_explanation|diagnostic_tests|resolution_steps|evaluation_methodology,True,True,ASHRAE Addendum u to ASHRAE Guideline 36-2018,5.16.14 Automatic Fault Detection and Diagnostics|Table 5.16.14.6 8 VAV AHU Fault Conditions|mixed air|fault detection|sensor error|heating coil|fault conditions|cooling coil|mat sensor|possible diagnosis|coil valve|air temperature,toc|fault_table|procedure|definition|equation|general_section,section_based,900,120,ASHRAE Addendum u to ASHRAE Guideline 36-2018,ASHRAE – ASHRAE Addendum u to ASHRAE Guideline 36-2018,,1,title: Used PDF metadata title. authority: Found explicit organization string 'ASHRAE' in first pages text. doc_type: Found explicit 'Guideline' text. version_or_revision: No explicit 'Revision/Rev/Version' marker or unambiguous date found in first pages. publication_year: No single explicit year uniquely identifiable in first pages (or multiple years found). key_sections: Extracted from a detected Contents/TOC page (up to 3 pages).
1.0,CLCH_SVX010E_EN_08152024,CLCH-SVX010E-EN_08152024.pdf,e:\dissertation-project\agentic-fault-gpt\knowledge\manual\CLCH-SVX010E-EN_08152024.pdf,1ad6b099c6f96e0b25011f6cac8c65070e31e7d21c54543b861525f1d53f5005,Performance Climate Changer™,Trane,oem_manual,,,en,AHU|VAV|cooling_coil|mixing_box|damper|fan|sensor|controller|general_hvac,leakage,economizer|cooling_coil|dampers|valves|sensors|maintenance|commissioning,diagnostic_tests|inspection_procedure|resolution_steps|maintenance_checklist,True,True,"Pre-Packaged Solutions for Controls . . . . . .|Structural Roof Curb and I-Beam Dunnage|Remodel, Retrofit, or Replacement . . . . . . .|Field-Installed Evaporator Piping Examples|Humidifier Piping and Connections . . . . . . .|Calculate Motor Voltage Imbalance . . . . . .|CDQ Desiccant Dehumidification Wheel . . .",evaporator coil|solenoid valve|expansion valve|traq damper|differential pressure|coil piping|trim solenoid valve|thermal expansion valve|airflow measuring|control valve|valve sight|unit evaporator coil,toc|procedure|checklist|equation|case_example|general_section,section_based,900,120,Performance Climate Changer™,Trane – Performance Climate Changer™,,3,title: Heuristic: first substantive line on page 1. authority: Found explicit organization string 'Trane' in first pages text. doc_type: Found explicit 'Manual' text (not explicitly IOM). version_or_revision: No explicit 'Revision/Rev/Version' marker or unambiguous date found in first pages. publication_year: No single explicit year uniquely identifiable in first pages (or multiple years found). key_sections: Extracted from a detected Contents/TOC page (up to 3 pages).
1.0,EN7499511_08_IOM_07_2023_39CP,EN7499511-08_IOM_07_2023_39CP.pdf,e:\dissertation-project\agentic-fault-gpt\knowledge\manual\EN7499511-08_IOM_07_2023_39CP.pdf,e6242abd8e49d37bafd6b3a1aedf7036cdf3742ff6001b8ed66abc966b127cc3,Original document,,oem_manual,,,en,AHU|cooling_coil|mixing_box|damper|fan|sensor,leakage,cooling_coil|dampers|valves|sensors|maintenance|commissioning|diagnostics,fault_condition_definition|possible_cause_enumeration|physical_behavior_explanation|diagnostic_tests|inspection_procedure,True,True,1 - GENERAL INFORMATION|1.1 - Intended use|1.2 - Documentation|1.3 - Warranty|2 - SAFETY INSTRUCTIONS|3 - REGULATIONS|3.1 - General information|3.2 - Regulations|3.3 - Accreditation|3.4 - Pressure and temperature,3.4 - Pressure and temperature|air handling unit|pressure temperature|cooling coil|operating temperature|air pressure|damper mixing|may cause|temperature current|temperature sensors|ambient operating temperature|operating temperature current,toc|fault_table|procedure|definition|case_example|general_section,section_based,900,120,Original document,Original document,,3,title: Heuristic: first substantive line on page 1. authority: No explicit publisher/organization string confidently found on first pages. doc_type: Found explicit 'Manual' text (not explicitly IOM). version_or_revision: No explicit 'Revision/Rev/Version' marker or unambiguous date found in first pages. publication_year: No single explicit year uniquely identifiable in first pages (or multiple years found). key_sections: Extracted from a detected Contents/TOC page (up to 3 pages).
1.0,HONEYWELL_HANDBOOK,honeywell-handbook.pdf,e:\dissertation-project\agentic-fault-gpt\knowledge\manual\honeywell-handbook.pdf,c25f4289f06a49522aca1bb941cd0fd620c77961d59549019ada88e26354a45b,77-1200 - Automatic Control for Commercial Buildings SI Edition,Honeywell,oem_manual,,,en,AHU|VAV|chiller|cooling_coil|damper|fan|sensor|controller|building_systems|general_hvac,leakage,economizer|mixed_air|cooling_coil|dampers|valves|sensors|controls_sequences|maintenance,fault_condition_definition|possible_cause_enumeration|physical_behavior_explanation|diagnostic_tests|resolution_steps,True,True,,air handling unit|air temperature|dry-bulb temperature|return air|water temperature|outdoor air temperature|air pressure|mixed air|space temperature|point setpoint|heating coil|static pressure,toc|procedure|definition|equation|case_example|general_section,fixed_tokens,800,100,77-1200 - Automatic Control for Commercial Buildings SI Edition,Honeywell – 77-1200 - Automatic Control for Commercial Buildings SI Edition,,3,title: Used PDF metadata title. authority: Found explicit organization string 'Honeywell' in first pages text. doc_type: Found explicit 'Manual' text (not explicitly IOM). version_or_revision: No explicit 'Revision/Rev/Version' marker or unambiguous date found in first pages. publication_year: No single explicit year uniquely identifiable in first pages (or multiple years found). key_sections: Detected a Contents/TOC page but could not reliably parse section lines across TOC pages.
1.0,METHODS_FOR_FAULT_DETECTION_DIAGNOSTICS_AND_PROGNO,Methods_for_Fault_Detection_Diagnostics_and_Progno.pdf,e:\dissertation-project\agentic-fault-gpt\knowledge\manual\Methods_for_Fault_Detection_Diagnostics_and_Progno.pdf,2f8d3760851da03e5c408229afb1088c37abf02e3a1b0c6f2e27efe19c229993,R436_03.fm,ASHRAE,research,,,en,AHU|VAV|chiller|cooling_coil|damper|fan|sensor|controller|building_systems|general_hvac,economizer_fault|stuck_damper|general_fdd,economizer|mixed_air|cooling_coil|dampers|valves|sensors|maintenance|commissioning|fault_detection|diagnostics|energy_efficiency,fault_condition_definition|possible_cause_enumeration|physical_behavior_explanation|diagnostic_tests|inspection_procedure|resolution_steps|evaluation_methodology,True,True,REVIEW ARTICLE|INTRODUCTION|FUNDAMENTAL FDD METHODS,fault detection|detection diagnosis|fault detection diagnosis|fault diagnosis|detection diagnostics|automated fault|process fault|fault detection diagnostics|automated fault detection|process fault detection|detecting faults|common faults,fault_table|procedure|definition|equation|case_example|general_section,section_based,900,120,R436_03.fm,ASHRAE – R436_03.fm,,2,title: Used PDF metadata title. authority: Found explicit organization string 'ASHRAE' in first pages text. doc_type: Found explicit technical note / research indicator text. version_or_revision: No explicit 'Revision/Rev/Version' marker or unambiguous date found in first pages. publication_year: No single explicit year uniquely identifiable in first pages (or multiple years found). key_sections: No TOC/outline detected; used heading-like lines extracted from early pages.
1.0,NIST_TN_1831,NIST.TN.1831.pdf,e:\dissertation-project\agentic-fault-gpt\knowledge\manual\NIST.TN.1831.pdf,8fd2f629e2878c509cf78cabba63ce0cb8130e28587dabc658a23b650954c399,Detecting Faults in Building Air Handling Units ? A Background Study for Developing Intelligent Agents for Optimizing Building HVAC Systems,NIST,research,,,en,AHU|VAV|cooling_coil|mixing_box|damper|fan|sensor|controller|building_systems|general_hvac,stuck_damper|coil_fouling|general_fdd,economizer|mixed_air|cooling_coil|dampers|valves|sensors|maintenance|commissioning|fault_detection|diagnostics,possible_cause_enumeration|physical_behavior_explanation|diagnostic_tests|evaluation_methodology,True,True,FAULT DETECTION BASED ON A SIMPLE COOLING COIL MODEL,FAULT DETECTION BASED ON A SIMPLE COOLING COIL MODEL|FAULT DETECTION BASED ON A SIMPLE MIXING BOX MODEL|mixed air|air handling unit|fault detection|supply air|air temperature|supply air temperature|cooling coil|air damper|temperature sensor|temperature setpoint,toc|fault_table|procedure|equation|general_section,section_based,900,120,Detecting Faults in Building Air Handling Units ? A Background Study for Develop,NIST – Detecting Faults in Building Air Handling Units ? A Background Study for Developing Intelligent Agents for Optimizing Building HVAC Systems,,2,title: Used PDF metadata title. authority: Found explicit organization string 'NIST' in first pages text. doc_type: Found explicit technical note / research indicator text. version_or_revision: No explicit 'Revision/Rev/Version' marker or unambiguous date found in first pages. publication_year: No single explicit year uniquely identifiable in first pages (or multiple years found). key_sections: Extracted from a detected Contents/TOC page (up to 3 pages).
1.0,NREL_ASSESSMENTGUIDELINES,NREL-AssessmentGuidelines.pdf,e:\dissertation-project\agentic-fault-gpt\knowledge\manual\NREL-AssessmentGuidelines.pdf,55e581c1546f2f2db933a505b6add9dd97b6bbe96cf33c8a146cd316ec139217,"Air Handling Unit Assessment Guidelines (Fact Sheet), Saving Energy In Commercial Buildings, NREL (National Renewable Energy Laboratory)",,assessment_guidelines,,,en,AHU|VAV|cooling_coil|damper|fan|sensor|general_hvac,,economizer|mixed_air|cooling_coil|dampers|valves|sensors|controls_sequences|commissioning|energy_efficiency,diagnostic_tests|inspection_procedure|resolution_steps|evaluation_methodology,True,True,SAVING ENERGY IN COMMERCIAL BUILDINGS,mixed air|air handling unit|sequence of operations|air temperature|static pressure|return air|outside air|discharge air temperature|pressure setpoint|temperature humidity|static pressure setpoint|damper bank,procedure|case_example|general_section,section_based,900,120,"Air Handling Unit Assessment Guidelines (Fact Sheet), Saving Energy In Commercia","Air Handling Unit Assessment Guidelines (Fact Sheet), Saving Energy In Commercial Buildings, NREL (National Renewable Energy Laboratory)",,2,title: Used PDF metadata title. authority: No explicit publisher/organization string confidently found on first pages. doc_type: Found explicit 'Assessment Guidelines' text. version_or_revision: No explicit 'Revision/Rev/Version' marker or unambiguous date found in first pages. publication_year: No single explicit year uniquely identifiable in first pages (or multiple years found). key_sections: No TOC/outline detected; used heading-like lines extracted from early pages.
1.0,PNNL_29078,PNNL-29078.pdf,e:\dissertation-project\agentic-fault-gpt\knowledge\manual\PNNL-29078.pdf,a274b1c94886119c9b7a897135a7036c395c800b84d0d28b729e767ab8730c3e,PNNL-29078,PNNL,research,,,en,AHU|VAV|chiller|cooling_coil|mixing_box|damper|fan|sensor|controller|general_hvac,sensor_failure|leakage,economizer|mixed_air|cooling_coil|dampers|valves|sensors|controls_sequences|maintenance|commissioning|energy_efficiency,fault_condition_definition|possible_cause_enumeration|physical_behavior_explanation|diagnostic_tests|resolution_steps|evaluation_methodology,True,True,,3.3 What Zone Terminal Boxes Should Be Considered for Minimum Airflow Setpoint|3.3.1 Methodology for Implementing Zone Terminal Box Minimum Airflow Setpoint|3.3.2 BAS Data Needed to Verify Zone Terminal Box Minimum Airflow|4.3.2 Approach 2: Trim and Respond based on the Maximum VAV Box Damper|static pressure|water temperature|temperature reset|pressure setpoint|static pressure setpoint|condenser water temperature|box damper|vav box damper,toc|fault_table|procedure|definition|case_example|general_section,hybrid,850,120,PNNL-29078,PNNL – PNNL-29078,,2,title: Heuristic: first substantive line on page 1. authority: Found explicit organization string 'PNNL' in first pages text. doc_type: Found explicit technical report / laboratory indicator text. version_or_revision: No explicit 'Revision/Rev/Version' marker or unambiguous date found in first pages. publication_year: No single explicit year uniquely identifiable in first pages (or multiple years found). key_sections: Detected a Contents/TOC page but could not reliably parse section lines across TOC pages.
1.0,SMART_EQUIPMENT_TROUBLESHOOTING_GUIDE,Smart Equipment Troubleshooting Guide.pdf,e:\dissertation-project\agentic-fault-gpt\knowledge\manual\Smart Equipment Troubleshooting Guide.pdf,e9609be7d03bf765857a15953ff1a9a26a40f56c4a5e50abafecf3a81da1c672,Smart Equipment Control Troubleshooting Guide,York,troubleshooting_guide,,,en,AHU|VAV|damper|fan|sensor|controller,sensor_failure,economizer|mixed_air|dampers|valves|sensors,possible_cause_enumeration|diagnostic_tests|inspection_procedure|resolution_steps,True,True,Smart Equipment™ Control Troubleshooting Guide,Smart Equipment™ Control Troubleshooting Guide|2 Smart Equipment™ Control Troubleshooting Guide|mixed air|alarm occurs|check sensor|control troubleshooting|troubleshooting guide|equipment control troubleshooting|control troubleshooting guide|smart equipment control troubleshooting|equipment control troubleshooting guide|smart equipment control troubleshooting guide,toc|procedure|general_section,section_based,900,120,Smart Equipment Control Troubleshooting Guide,York – Smart Equipment Control Troubleshooting Guide,,4,title: Used PDF metadata title. authority: Found explicit organization string 'York' in first pages text. doc_type: Found explicit 'Troubleshooting Guide' text. version_or_revision: No explicit 'Revision/Rev/Version' marker or unambiguous date found in first pages. publication_year: No single explicit year uniquely identifiable in first pages (or multiple years found). key_sections: Extracted from a detected Contents/TOC page (up to 3 pages).
1.0,YORK_XT_AU_IO_MANUAL,York-XT-AU-IO-Manual.pdf,e:\dissertation-project\agentic-fault-gpt\knowledge\manual\York-XT-AU-IO-Manual.pdf,9295b333ea61fb0db281e77a39edba72a4ebcaa32ab75cb7f0fcf2fdf9b8e63e,Air Handling Units Operation and Maintenance Manual (Form 102.20-OM2),York,iom,ISSUE DATE: 6/01/2015,,en,AHU|mixing_box|damper|fan|sensor|controller|general_hvac,leakage,economizer|mixed_air|dampers|valves|sensors|controls_sequences|maintenance|commissioning,possible_cause_enumeration|physical_behavior_explanation|diagnostic_tests|inspection_procedure|resolution_steps|maintenance_checklist,True,True,,air handling unit|outside air|gas pressure|return air|control damper|damper actuator|temperature rise|airflow switch|static pressure|pressure requirements|airflow monitoring|gas pressure requirements,toc|fault_table|procedure|checklist|equation|case_example|general_section,fixed_tokens,800,100,Air Handling Units Operation and Maintenance Manual (Form 102.20-OM2),York – Air Handling Units Operation and Maintenance Manual (Form 102.20-OM2),,3,title: Used PDF metadata title. authority: Found explicit organization string 'York' in first pages text. doc_type: Found explicit 'Operation and Maintenance Manual' text. publication_year: No single explicit year uniquely identifiable in first pages (or multiple years found). key_sections: Detected a Contents/TOC page but could not reliably parse section lines across TOC pages.
